SetPt	Ramp	Soak	Window	AVDD3P3	VDDIO_R	VDD0P9	VDDIO_M	VDDIO	
-40	9999	180	2	3.63	3.63	0.99	3.63	3.63	
-40	9999	180	2	3.531	3.531	0.927	3.531	3.531	
-40	9999	180	2	3.3	3.3	0.9	3.3	3.3	
-40	9999	180	2	3.069	3.069	0.837	3.069	3.069	
-40	9999	180	2	2.97	2.97	0.81	2.97	2.97	
-40	9999	180	2	3.63	2.75	0.99	2.75	2.75	
-40	9999	180	2	3.531	2.675	0.927	2.675	2.675	
-40	9999	180	2	3.3	2.5	0.9	2.5	2.5	
-40	9999	180	2	3.069	2.325	0.837	2.325	2.325	
-40	9999	180	2	2.97	2.25	0.81	2.25	2.25	
-40	9999	180	2	3.63	1.98	0.99	1.98	1.98	
-40	9999	180	2	3.531	1.926	0.927	1.926	1.926	
-40	9999	180	2	3.3	1.8	0.9	1.8	1.8	
-40	9999	180	2	3.069	1.674	0.837	1.674	1.674	
-40	9999	180	2	2.97	1.62	0.81	1.62	1.62	
105	9999	180	2	3.63	3.63	0.99	3.63	3.63	
105	9999	180	2	3.531	3.531	0.927	3.531	3.531	
105	9999	180	2	3.3	3.3	0.9	3.3	3.3	
105	9999	180	2	3.069	3.069	0.837	3.069	3.069	
105	9999	180	2	2.97	2.97	0.81	2.97	2.97	
105	9999	180	2	3.63	2.75	0.99	2.75	2.75	
105	9999	180	2	3.531	2.675	0.927	2.675	2.675	
105	9999	180	2	3.3	2.5	0.9	2.5	2.5	
105	9999	180	2	3.069	2.325	0.837	2.325	2.325	
105	9999	180	2	2.97	2.25	0.81	2.25	2.25	
105	9999	180	2	3.63	1.98	0.99	1.98	1.98	
105	9999	180	2	3.531	1.926	0.927	1.926	1.926	
105	9999	180	2	3.3	1.8	0.9	1.8	1.8	
105	9999	180	2	3.069	1.674	0.837	1.674	1.674	
105	9999	180	2	2.97	1.62	0.81	1.62	1.62	
25	9999	180	2	3.63	3.63	0.99	3.63	3.63	
25	9999	180	2	3.531	3.531	0.927	3.531	3.531	
25	9999	180	2	3.3	3.3	0.9	3.3	3.3	
25	9999	180	2	3.069	3.069	0.837	3.069	3.069	
25	9999	180	2	2.97	2.97	0.81	2.97	2.97	
25	9999	180	2	3.63	2.75	0.99	2.75	2.75	
25	9999	180	2	3.531	2.675	0.927	2.675	2.675	
25	9999	180	2	3.3	2.5	0.9	2.5	2.5	
25	9999	180	2	3.069	2.325	0.837	2.325	2.325	
25	9999	180	2	2.97	2.25	0.81	2.25	2.25	
25	9999	180	2	3.63	1.98	0.99	1.98	1.98	
25	9999	180	2	3.531	1.926	0.927	1.926	1.926	
25	9999	180	2	3.3	1.8	0.9	1.8	1.8	
25	9999	180	2	3.069	1.674	0.837	1.674	1.674	
25	9999	180	2	2.97	1.62	0.81	1.62	1.62	
STOP									
